team_id,team_name,club,event_age,gender,division,bracket,assignment_source,coverage,rating,flag
283774,Tyler FC 15B,Tyler FC,U11,m,DS 9v9 Silver Elite,Bracket B,registrar,RED,1534.94,ranking-uncertain
407081,Tyler FC 18B,Tyler FC,U9,m,18s,Bracket A,registrar,RED,1508.09,ranking-uncertain
536481,Tyler FC 19B,Tyler FC,U8,m,7v7 18s Silver,Bracket A,registrar,RED,1530.97,ranking-uncertain
638734,Frisco Fusion 13G Red,Frisco Fusion,U13,f,11v11 Bronze,Bracket C,registrar,RED,,ranking-uncertain
148172,Southern Soccer 14B,Southern Soccer,U12,m,9v9 Bronze,Bracket A,registrar,RED,,ranking-uncertain
385932,FC Dallas Youth Pre ECNL B15,FC Dallas Youth,U11,m,9v9 Silver,Bracket A,registrar,RED,,ranking-uncertain
204509,FC Dallas Pre ECNL B15 Raine,FC Dallas Youth,U11,m,DS 9v9 Silver Elite,Bracket A,registrar,RED,,ranking-uncertain
96926,Coppell FC 09G Sansom,Coppell Youth SA,U17,f,HS 1,Bracket B,registrar,RED,,ranking-uncertain
625815,Dallas Surf 13G Central,Dallas Surf,U13,f,11v11 Silver,Bracket A,registrar,RED,,ranking-uncertain
576495,FC Dallas Youth 18G Herrera,FC Dallas Youth,U8,f,7v7 Silver,Bracket B,registrar,RED,1505.70,ranking-uncertain
625834,Dallas Surf 15G Black,Dallas Surf,U11,f,9v9 Bronze II,Bracket B,registrar,RED,,ranking-uncertain
121665,Bravos Academy 10B (Garcia),FC JUAREZ DALLAS,U17,m,DS Silver,Bracket A,registrar,RED,,ranking-uncertain
116698,Dallas Legacy 08B Arroyo,Dallas Legacy,U18,m,DS 08-09,Bracket A,registrar,RED,,ranking-uncertain
116701,Dallas Legacy 09G Arroyo,Dallas Legacy,U17,f,HS 1,Bracket B,registrar,RED,,ranking-uncertain
656517,Sting B19 Guess,Sting Soccer Club,U7,m,Silver 4v4,Bracket A,registrar,RED,,ranking-uncertain
111354,Steel United TX MSA 08G Elite,Steel United Texas,U19,f,Gold,Bracket B,registrar,RED,,ranking-uncertain
444455,Coppell FC 16B Williams White,Coppell Youth SA,U10,m,9v9 Bronze II Crossover,Bracket C,registrar,RED,1413.15,ranking-uncertain
500576,Dallas Surf 14G East Wave,Dallas Surf,U12,f,9v9 Bronze II,Bracket A,registrar,MISSING,,
336332,GLASA Hulk Smash 15B,GLASA,U11,m,,,NEEDS-SLOTTING,RED,1486.57,ranking-uncertain
77208,TAG 09B Black,TAG Soccer,U17,m,Bracket B,Bracket A,registrar,RED,,ranking-uncertain
129701,Villarreal NTX 11B Yellow Vargas,Villarreal NTX,U15,m,DS Silver,Bracket A,registrar,RED,,ranking-uncertain
140117,BVB 15B PreECNL Black East (Contreras),BVB International Academy Texas,U11,m,Silver II,Bracket C,registrar,RED,,ranking-uncertain
261335,FC Dallas Youth Pre ECNL B14 Bailey,FC Dallas Youth,U13,m,11v11 Silver 14s,Bracket B,registrar,RED,,ranking-uncertain
131542,IRVING TEXAS HEAT 14 GR,Irving Soccer Association,U12,f,,,NEEDS-SLOTTING,GREEN,,ranking-uncertain
631113,Solar SW 14B Gallegos PreECNL,Solar SC,U13,m,11v11 Silver 14s,Bracket B,registrar,RED,,ranking-uncertain
526884,Legacy United FC 17B,Legacy United FC,U9,m,7v7 Bronze Crossover,Bracket A,registrar,RED,1458.77,ranking-uncertain
489179,Legacy United FC 14B - Juarez,Legacy United FC,U12,m,9v9 Bronze,Bracket B,registrar,RED,,ranking-uncertain
130687,Legacy United FC 13B,Legacy United FC,U13,m,11v11 Bronze II,Bracket A,registrar,RED,,ranking-uncertain
521491,Atlético Dallas youth NPL NTX 12B HERNANDEZ-WTX,Atletico Dallas Youth,U15,m,DS Bronze,Bracket B,registrar,RED,,ranking-uncertain
82996,FC Dallas Youth Navy ECNL RL NTX B13,FC Dallas Youth,U13,m,11v11 Silver,Bracket A,registrar,RED,,ranking-uncertain
284420,Atletico Dallas Youth ECNL RL NTX BLUE 08/07B HERNANDEZ-WTX,Atletico Dallas Youth,U17,m,,,NEEDS-SLOTTING,MISSING,,
131519,IRVING WILD CATS 12 GR,Irving Soccer Association,U14,f,,,NEEDS-SLOTTING,MISSING,,
625839,Dallas Surf 15G Central,Dallas Surf,U11,f,,,NEEDS-SLOTTING,RED,,ranking-uncertain
83012,FC Dallas Youth White ECNL RL NTX G10,FC Dallas Youth,U16,f,HS 1,Bracket A,registrar,RED,,ranking-uncertain
80236,07G GARCIA (TXN),DKSC,U19,f,Gold,Bracket A,registrar,MISSING,,
