team_id,team_name,club,event_age,gender,division,bracket,rating,flag,target_division,reason
454411,Revolution Premier SC 16G Blue,Revolution Premier SC,U10,f,9v9 Bronze II,Bracket B,,ranking-uncertain,,No ranking available
532048,Atletico Dallas Youth Central 16B White,Atletico Dallas Youth,U10,m,9v9 Bronze II Crossover,Bracket C,1459.20,ranking-uncertain,,Only 0 games in last 365d
520052,AlphaForms'16G,Forms Academy,U10,f,9v9 DS Gold,Bracket A,,ranking-uncertain,,No ranking available
541887,AlphaForms'17G,Forms Academy,U9,f,7v7 Dallas Showcase Super Group 17s,Bracket A,1577.80,ranking-uncertain,,Only 3 games in last 365d
154329,Cobras,Little Elm Youth SA,U11,m,9v9 Bronze II,Bracket C,,ranking-uncertain,,No ranking available
625811,Dallas Surf South 12B Black,Dallas Surf,U14,m,11v11 Bronze II,Bracket C,,ranking-uncertain,,No ranking available
623896,FC Dallas Youth 15B Navy,FC Dallas Youth,U11,m,Silver II,Bracket A,,ranking-uncertain,,No ranking available
523908,Dallas Texans 2019 Boys White Dallas,Dallas Texans,U7,m,Bronze 4v4,Bracket A,1484.74,ranking-uncertain,,Only 0 games in last 365d
370310,Sting FTW G17 Kovacevic,Sting Soccer Club,U9,f,7v7 Silver,Bracket A,,ranking-uncertain,,No ranking available
387622,Dallas Texans 2018 Boys Red Dallas,Dallas Texans,U8,m,7v7 18s Silver,Bracket B,1471.37,ranking-uncertain,,Only 0 games in last 365d
401805,Dutch Lionesses 14G AJAX,Dutch FC,U12,f,11v11 Bronze,Bracket A,,ranking-uncertain,,No ranking available
120846,Dallas Cosmos 11G White,Dallas Cosmos Soccer Club,U15,f,Silver,Bracket B,,ranking-uncertain,,No ranking available
82916,FC Dallas Youth 11G White,FC Dallas Youth,U15,f,Silver,Bracket B,1467.46,ranking-uncertain,,Only 0 games in last 365d
386019,FC Dallas Youth Pre ECNL G16 Avant West,FC Dallas Youth,U10,f,9v9 Silver,Bracket B,,ranking-uncertain,,No ranking available
62113,BVB 14G East (Brown),BVB International Academy Texas,U12,f,11v11 Silver,Bracket A,,ranking-uncertain,,No ranking available
579139,FC Guardians 2016,FC Guardians,U10,m,9v9 Bronze,Bracket A,,ranking-uncertain,,No ranking available
494964,FC Guardians 2017,FC Guardians,U9,m,7v7 Bronze Crossover,Bracket B,1473.82,ranking-uncertain,,Only 3 games in last 365d
389719,Texas Warriors FC 16G Red,Texas Warriors FC,U10,f,9v9 Bronze II,Bracket A,1440.09,ranking-uncertain,,Only 4 games in last 365d
636821,Dallas Surf 15B Black,Dallas Surf,U11,m,9v9 Silver,Bracket C,,ranking-uncertain,,No ranking available
122868,Dortmund 18B,Independent Teams - NTX,U8,m,7v7 Bronze,Bracket B,1494.47,ranking-uncertain,,Only 0 games in last 365d
452458,Thunder United SC 13B Gold,Thunder United Soccer Club,U13,m,11v11 Bronze II,Bracket A,,ranking-uncertain,,No ranking available
450821,NTX United FC 2014G Smith,NTX United FC,U13,f,11v11 Bronze,Bracket B,1534.07,ranking-uncertain,,Only 0 games in last 365d
248284,BVB 11G Black East (Contreras),BVB International Academy Texas,U15,f,Silver,Bracket A,,ranking-uncertain,,No ranking available
68358,Fever United 12B Phiri,Fever United,U14,m,11v11 Silver,Bracket A,,ranking-uncertain,,No ranking available
