team_id,team_name,club,event_age,gender,division,bracket,coverage,games_365,distinct_opponents,last_game_date,rating,in_db
574776,Coppell FC 18G Mobley White,Coppell FC,U8,f,4v4 Bronze,Bracket A,RED,0,0,,1364.92,yes
77860,Kernow Storm FC WTX B08 Lubbock,Kernow Storm FC,U18,m,DS 08-09,Bracket A,RED,0,0,,1564.11,yes
702797,Dallas Deportivo F.C. 15,Dallas Deportivo FC,U11,f,9v9 Bronze II,Bracket A,MISSING,0,0,,,no
138606,FC LEGENDS UTD 10/11B Red,FC LEGENDS UTD,U16,m,DS Bronze Crossover,Bracket B,RED,0,0,,,yes
127580,Sting NPL NTX B13 Pitcock/C Rodriguez,Sting Soccer Club,U13,m,11v11 Silver,Bracket A,RED,0,0,,,yes
647985,Toros FC 2018/2019 Black,El Paso Premier League,U8,m,7v7 18s Silver,Bracket B,RED,0,0,,,yes
717023,Toros FC 2009/2010 Black,El Paso Premier League,U17,m,DS Silver,Bracket A,MISSING,0,0,,,no
643973,TOROS FC 2014 Black,El Paso Premier League,U12,m,9v9 Bronze,Bracket C,RED,0,0,,,yes
693244,Toros FC 2016 Black,El Paso Premier League,U10,m,,,GREEN,59,41,2026-05-30,,yes
686963,Toros FC 2017 Black,El Paso Premier League,U9,m,7v7 Silver,Bracket A,RED,0,0,,,yes
720833,Toros FC 2011/2012 Neon,El Paso Premier League,U15,m,DS Bronze,Bracket A,MISSING,0,0,,,no
10904,Colorado United 2010B Red,Colorado United,U16,m,DS Silver Crossover,Bracket B,RED,0,0,,,yes
537196,BVB 17/18G Oldham,BVB International Academy Texas,U9,f,7v7 Silver,Bracket A,RED,4,3,2026-01-19,1498.10,yes
709418,Solar North 16G,Solar SC,U11,f,9v9 DS Gold,Bracket A,RED,0,0,,1601.98,yes
510811,Dallas Surf 14G East Silver,Dallas Surf,U12,f,11v11 Silver,Bracket A,YELLOW,8,6,2026-03-15,,yes
330126,BVB 15G Black (Oldham),BVB International Academy Texas,U11,f,9v9 Silver,Bracket C,RED,0,0,,,yes
138605,FC LEGENDS UTD 15B Black,FC LEGENDS UTD,U11,m,9v9 Bronze,Bracket C,RED,0,0,,,yes
